"年","月","日","時","分","縣市","區","死","受傷","2-30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分_類別","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標_緯度","GPS座標_經度","事故類別"
"2019","7","1","13","20","臺中市","大雅區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","1","4","5","1","16","7","3","10","1","1","C03","7","8","1","10","2","12","","7","7","1","22","9","C03","24.217289","120.649182","2"
"2019","7","1","13","22","臺中市","北區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","3","1","10","5","5","2","17","40","3","10","1","1","B03","7","14","1","8","2","4","","40","40","1","22","8","B03","24.15818","120.67997","2"
"2019","7","1","13","24","臺中市","南屯區","0","1","0","8","1","5","50","4","9","1","5","4","5","7","2","1","5","4","5","2","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","19","8","C03","24.135875","120.651072","2"
"2019","7","1","13","38","臺中市","東區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","22","","B12","24.130869","120.701363","3"
"2019","7","1","13","40","臺中市","龍井區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","","","B12","24.21308","120.55155","3"
"2019","7","1","13","41","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","6","","1","22","","B12","24.157556","120.691903","3"
"2019","7","1","13","41","臺中市","太平區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","17","","1","22","","B03","24.14852","120.705787","3"
"2019","7","1","13","45","臺中市","東區","0","0","0","8","1","5","40","3","9","1","5","4","5","7","4","4","9","4","5","2","14","12","","","","","B03","","2","1","8","2","5","","12","12","1","5","","B03","24.126166","120.685036","3"
"2019","7","1","13","46","臺中市","梧棲區","0","3","0","8","1","5","60","4","1","1","5","4","5","7","1","1","10","5","5","2","15","25","2","9","1","1","E03","7","9","1","8","2","5","","25","25","1","23","1","E03","24.249936","120.536126","2"
"2019","7","1","13","52","臺中市","南屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","21","","B12","24.148769","120.625772","3"
